degree,amexicanum_regen_up_Fraction_sp_less4,celegans_stress_up_Fraction_sp_less4,clupisFamiliaris_wound_up_Fraction_sp_less4,dmelanogaster_stress_up_Fraction_sp_less4,dmelanogaster_wound_up_Fraction_sp_less4,drerio_regen_up_Fraction_sp_less4,hsapiens_regen_up_Fraction_sp_less4,hsapiens_stress_up_Fraction_sp_less4,hsapiens_wound_up_Fraction_sp_less4,mmusculus_stress_up_Fraction_sp_less4,rnorvegicus_wound_up_Fraction_sp_less4,sscrofa_wound_up_Fraction_sp_less4,label
1,0.968253968253968,0.940340909090909,0.934782608695652,0.935933147632312,0.957410562180579,0.974358974358974,0.952802359882006,0.973190348525469,0.958333333333333,0.969613259668508,0.920127795527157,0.984815618221258,1
2,0.889140271493213,0.857954545454545,0.847826086956522,0.821428571428571,0.873935264054514,0.905128205128205,0.899705014749263,0.924932975871314,0.868965517241379,0.895027624309392,0.830670926517572,0.926247288503254,1
2,0.904977375565611,0.900568181818182,0.869565217391304,0.869047619047619,0.916524701873935,0.925641025641026,0.908554572271386,0.932975871313673,0.889655172413793,0.94475138121547,0.87220447284345,0.926247288503254,1
2,0.96606334841629,0.954545454545455,0.978260869565217,0.969359331476323,0.982964224872232,0.992307692307692,0.979351032448378,0.994638069705094,0.96551724137931,0.983425414364641,0.968051118210863,0.989154013015184,1
18,0.886877828054299,0.889204545454545,0.891304347826087,0.844011142061281,0.896081771720613,0.928205128205128,0.911504424778761,0.927613941018767,0.889655172413793,0.917127071823204,0.865814696485623,0.939262472885033,1
6,0.83710407239819,0.832386363636364,0.782608695652174,0.678571428571429,0.826235093696763,0.856410256410256,0.858407079646018,0.89544235924933,0.827586206896552,0.875690607734807,0.747603833865815,0.906724511930586,1
3,0.934389140271493,0.914772727272727,0.91304347826087,0.88857938718663,0.931856899488927,0.982051282051282,0.941002949852507,0.975871313672922,0.944827586206897,0.947513812154696,0.913738019169329,0.963123644251627,1
1,0.943438914027149,0.911931818181818,0.978260869565217,0.913649025069638,0.938671209540034,0.958974358974359,0.958702064896755,0.975871313672922,0.951724137931034,0.966850828729282,0.929712460063898,0.976138828633406,1
39,0.975113122171946,0.96875,1,0.977715877437326,0.981260647359455,0.994871794871795,0.982300884955752,0.997319034852547,0.993103448275862,0.99171270718232,0.977635782747604,0.995661605206074,1
58,0.923076923076923,0.917613636363636,0.91304347826087,0.905292479108635,0.923339011925043,0.956410256410256,0.958702064896755,0.978552278820375,0.96551724137931,0.966850828729282,0.929712460063898,0.967462039045553,1
7,0.900452488687783,0.900568181818182,0.91304347826087,0.866295264623955,0.904599659284497,0.930769230769231,0.929203539823009,0.951742627345844,0.917241379310345,0.941988950276243,0.910543130990415,0.939262472885033,1
2,0.852941176470588,0.852272727272727,0.847826086956522,0.785714285714286,0.853492333901193,0.876923076923077,0.867256637168142,0.906166219839142,0.827586206896552,0.908839779005525,0.814696485623003,0.900216919739696,1
1,0.916289592760181,0.926136363636364,0.891304347826087,0.883008356545961,0.919931856899489,0.938461538461538,0.935103244837758,0.943699731903485,0.910344827586207,0.939226519337017,0.894568690095847,0.939262472885033,1
5,0.932126696832579,0.917613636363636,0.978260869565217,0.902506963788301,0.940374787052811,0.971794871794872,0.946902654867257,0.973190348525469,0.958620689655172,0.961325966850829,0.926517571884984,0.958785249457701,1
1,0.959183673469388,0.957386363636364,0.978260869565217,0.938718662952646,0.971039182282794,0.979487179487179,0.970501474926254,0.983914209115281,0.965277777777778,0.972375690607735,0.94888178913738,0.976138828633406,1
4,0.957013574660634,0.946022727272727,0.956521739130435,0.913649025069638,0.955706984667802,0.961538461538462,0.964601769911504,0.978552278820375,0.986206896551724,0.972375690607735,0.920127795527157,0.982646420824295,1
36,0.889140271493213,0.84375,0.891304347826087,0.838440111420613,0.872231686541738,0.933333333333333,0.896755162241888,0.935656836461126,0.875862068965517,0.933701657458563,0.840255591054313,0.934924078091106,1
37,0.916289592760181,0.892045454545455,0.847826086956522,0.86908077994429,0.908006814310051,0.938461538461538,0.91740412979351,0.957104557640751,0.875862068965517,0.92817679558011,0.89776357827476,0.952277657266811,1
10,0.680995475113122,0.670454545454545,0.5,0.583333333333333,0.732538330494037,0.764102564102564,0.678466076696165,0.7828418230563,0.655172413793103,0.74585635359116,0.63258785942492,0.802603036876356,1
2,0.893665158371041,0.877840909090909,0.869565217391304,0.835654596100279,0.906303236797274,0.948717948717949,0.938053097345133,0.951742627345844,0.889655172413793,0.94475138121547,0.904153354632588,0.943600867678959,1
1,0.947963800904977,0.954545454545455,0.91304347826087,0.933147632311978,0.959114139693356,0.974358974358974,0.946902654867257,0.978552278820375,0.944827586206897,0.958563535911602,0.939297124600639,0.980477223427332,1
20,0.952380952380952,0.951704545454545,0.956521739130435,0.919220055710306,0.96252129471891,0.966666666666667,0.958702064896755,0.973190348525469,0.965277777777778,0.966850828729282,0.942492012779553,0.967462039045553,1
2,0.886877828054299,0.894886363636364,0.869565217391304,0.846796657381616,0.89778534923339,0.928205128205128,0.890855457227139,0.935656836461126,0.896551724137931,0.914364640883978,0.843450479233227,0.937093275488069,1
78,0.742081447963801,0.636363636363636,0.608695652173913,0.593314763231198,0.691652470187394,0.782051282051282,0.737463126843658,0.796246648793566,0.696551724137931,0.737569060773481,0.63258785942492,0.785249457700651,1
13,0.927437641723356,0.886363636363636,0.891304347826087,0.88857938718663,0.916524701873935,0.964102564102564,0.943952802359882,0.967828418230563,0.930555555555556,0.941988950276243,0.92332268370607,0.958785249457701,1
1,0.907239819004525,0.883522727272727,0.869565217391304,0.871866295264624,0.913117546848382,0.948717948717949,0.938053097345133,0.975871313672922,0.889655172413793,0.933701657458563,0.904153354632588,0.960954446854664,1
23,0.762443438914027,0.71875,0.58695652173913,0.715877437325905,0.76320272572402,0.838461538461538,0.799410029498525,0.847184986595174,0.737931034482759,0.842541436464088,0.70926517571885,0.852494577006508,1
6,0.85972850678733,0.846590909090909,0.826086956521739,0.807799442896936,0.863713798977853,0.88974358974359,0.890855457227139,0.89544235924933,0.813793103448276,0.906077348066298,0.808306709265176,0.911062906724512,1
3,0.950226244343891,0.946022727272727,0.956521739130435,0.924791086350975,0.96252129471891,0.992307692307692,0.952802359882006,0.981233243967828,0.931034482758621,0.969613259668508,0.94888178913738,0.984815618221258,1
4,0.909502262443439,0.917613636363636,0.869565217391304,0.902506963788301,0.919931856899489,0.943589743589744,0.92330383480826,0.954423592493298,0.944827586206897,0.955801104972376,0.900958466453674,0.950108459869848,1
5,0.454751131221719,0.355113636363636,0.108695652173913,0.384401114206128,0.458262350936968,0.494871794871795,0.386430678466077,0.482573726541555,0.4,0.469613259668508,0.383386581469649,0.527114967462039,1
18,0.0361990950226244,0.0284090909090909,0.0217391304347826,0.0357142857142857,0.0357751277683135,0.0384615384615385,0.0471976401179941,0.0455764075067024,0.0413793103448276,0.0607734806629834,0.0191693290734824,0.0867678958785249,1
3,0.787330316742081,0.735795454545455,0.630434782608696,0.746518105849582,0.79045996592845,0.817948717948718,0.784660766961652,0.812332439678284,0.772413793103448,0.781767955801105,0.70926517571885,0.832971800433839,1
2,0.916289592760181,0.883522727272727,0.91304347826087,0.833333333333333,0.909710391822828,0.951282051282051,0.952802359882006,0.970509383378016,0.924137931034483,0.947513812154696,0.891373801916933,0.967462039045553,1
15,0.633484162895928,0.622159090909091,0.456521739130435,0.5,0.672913117546848,0.71025641025641,0.657817109144543,0.723860589812332,0.620689655172414,0.732044198895028,0.600638977635783,0.761388286334056,1
3,0.950226244343891,0.9375,0.891304347826087,0.927576601671309,0.965928449744463,0.979487179487179,0.973451327433628,0.983914209115281,0.951724137931034,0.961325966850829,0.939297124600639,0.978308026030369,1
1,0.914027149321267,0.90625,0.91304347826087,0.899721448467967,0.923339011925043,0.961538461538462,0.932153392330384,0.973190348525469,0.917241379310345,0.941988950276243,0.900958466453674,0.96529284164859,1
25,0.936651583710407,0.946022727272727,0.91304347826087,0.938718662952646,0.96252129471891,0.979487179487179,0.967551622418879,0.981233243967828,0.951724137931034,0.964088397790055,0.958466453674121,0.980477223427332,1
3,0.226244343891403,0.122159090909091,0.0869565217391304,0.0952380952380952,0.192504258943782,0.246153846153846,0.168141592920354,0.235924932975871,0.179310344827586,0.232044198895028,0.118210862619808,0.273318872017354,1
11,0.911764705882353,0.889204545454545,0.847826086956522,0.797619047619048,0.911413969335605,0.943589743589744,0.902654867256637,0.954423592493298,0.924137931034483,0.92817679558011,0.884984025559105,0.945770065075922,1
1,0.932126696832579,0.911931818181818,0.91304347826087,0.821428571428571,0.926746166950596,0.961538461538462,0.946902654867257,0.96514745308311,0.931034482758621,0.955801104972376,0.929712460063898,0.945770065075922,1
7,0.959276018099548,0.948863636363636,0.978260869565217,0.952646239554318,0.971039182282794,0.976923076923077,0.973451327433628,0.986595174262735,0.972413793103448,0.969613259668508,0.968051118210863,0.991323210412148,1
