Gene	GeneType
OCLN	wound
ORMDL1	wound
PATL1	wound
PRKAG1	wound
PTPRA	wound
RRBP1	wound
S100A11	wound
SEC61B	wound
SLC15A1	wound
SLC29A1	wound
SLC9A3R1	wound
SMARCA5	wound
TDP2	wound
TEAD1	wound
TGFB1	wound
THAP11	wound
TMEM59	wound
TNFAIP8L2	wound
TPM1	wound
TRDMT1	wound
YKT6	wound
ACSL1	wound
ACTG1	wound
ALDH2	wound
ARID4A	wound
ARPC5	wound
ATP6V1C1	wound
B2M	wound
CD2	wound
CDC25C	wound
CDH5	wound
CDK2AP1	wound
CDKN2A	wound
CFL2	wound
CRY2	wound
DDO	wound
DDX56	wound
DLG5	wound
DPP4	wound
ERGIC1	wound
ERP44	wound
FBXO9	wound
FKBP4	wound
FKBP7	wound
GGA3	wound
GLT8D1	wound
GNE	wound
HTR2A	wound
IFIT2	wound
IKBIP	wound
INHBA	wound
MDFIC	wound
MORF4L1	wound
MPZL2	wound
MTTP	wound
NCALD	wound
OXCT1	wound
PAPOLA	wound
PCMT1	wound
PDZK1	wound
PLAU	wound
PNPLA2	wound
PPP3CA	wound
RAN	wound
RPL34	wound
SCARB2	wound
SDC2	wound
SLC31A2	wound
STAT5B	wound
TBXAS1	wound
TFG	wound
TLR6	wound
TMED10	wound
TMEM248	wound
UBFD1	wound
ULBP3	wound
URM1	wound
UXS1	wound
WDR33	wound
XPO7	wound
ACP2	wound
ADAM17	wound
AREG	wound
ATP6V1A	wound
BDNF	wound
CARHSP1	wound
CASP1	wound
