label	gene
upregulated.regen	MAPK12
upregulated.regen	MAPRE3
upregulated.regen	MAPT
upregulated.regen	MASP2
upregulated.regen	MCM2
upregulated.regen	MFSD6L
upregulated.regen	MID1
upregulated.regen	MMP11
upregulated.regen	MMP14
upregulated.regen	MPEG1
upregulated.regen	MTHFSD
upregulated.regen	MYBPH
upregulated.regen	NCBP1
upregulated.regen	NCF2
upregulated.regen	NCF4
upregulated.regen	NCOA7
upregulated.regen	NID2
upregulated.regen	OLFML1
upregulated.regen	OSR1
upregulated.regen	P2RX1
upregulated.regen	PALLD
upregulated.regen	PCDH19
upregulated.regen	PCK2
upregulated.regen	PDE4D
upregulated.regen	PDZRN3
upregulated.regen	PEG10
upregulated.regen	PFKFB3
upregulated.regen	PHTF1
upregulated.regen	PLCB2
upregulated.regen	PLK1
upregulated.regen	PLOD2
upregulated.regen	PNPT1
upregulated.regen	PPAN-P2RY11
upregulated.regen	PPP1R14C
upregulated.regen	PRKCZ
upregulated.regen	PRLR
upregulated.regen	PTAFR
upregulated.regen	RAD17
upregulated.regen	RAD50
upregulated.regen	RASGRP4
upregulated.regen	RBBP9
upregulated.regen	RBMS1
upregulated.regen	RHBG
upregulated.regen	RHOB
upregulated.regen	RHPN2
upregulated.regen	RLBP1
upregulated.regen	RND3
upregulated.regen	ROR1
upregulated.regen	RPGR
upregulated.regen	RRM2
upregulated.regen	RTL1
upregulated.regen	RUNX1
upregulated.regen	SASS6
upregulated.regen	SCIMP
upregulated.regen	SERPINF2
upregulated.regen	SGCB
upregulated.regen	SLC2A12
upregulated.regen	SLC2A9
upregulated.regen	SLC38A2
upregulated.regen	SLC4A1
upregulated.regen	SLC7A5
upregulated.stress	EPHX1
upregulated.stress	UGT2B15
upregulated.stress	UGT2B28
upregulated.stress	UGT3A1
upregulated.stress	UGT1A1
upregulated.stress	UGT1A10
upregulated.stress	UGT1A3
upregulated.stress	UGT1A4
upregulated.stress	UGT1A5
upregulated.stress	UGT1A6
upregulated.stress	UGT1A7
upregulated.stress	UGT1A8
upregulated.stress	UGT1A9
upregulated.stress	UGT2A1
upregulated.stress	UGT2A2
