gene_mmusculus_stress_up,mmusculus_stress_up_Fraction_sp_less7,mmusculus_stress_up_Fraction_sp_less6,mmusculus_stress_up_Fraction_sp_less5,mmusculus_stress_up_Fraction_sp_less4,mmusculus_stress_up_Fraction_sp_less3,mmusculus_stress_up_Fraction_sp_less2,mmusculus_stress_up_Fraction_sp_1,mmusculus_stress_up_Fraction_sp_0
ZRANB1,0.3036617682486148,0.23199229101421345,0.10840761262346423,0.026017827029631416,0.002890869669959046,0.0002409058058299205,0.0002409058058299205,0.0
ZRANB3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZRANB2,0.3194410985304746,0.3105275837147675,0.2624668754516984,0.14020717899301374,0.03866538183570224,0.00469766321368345,0.00469766321368345,0.0
ATP9B,0.31558660563719587,0.29161647795711876,0.19489279691640568,0.07829438689472416,0.011443025776921224,0.00036135870874488076,0.00036135870874488076,0.0
HIST1H2AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MICAL1,0.2975186701999518,0.21524933750903397,0.08853288364249579,0.02312695735967237,0.001927246446639364,0.00036135870874488076,0.0002409058058299205,0.00012045290291496025
RRAGD,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ZNF845,0.22657191038304023,0.09033967718622019,0.013731630932305469,0.0002409058058299205,0.00012045290291496025,0.00012045290291496025,0.0,0.00012045290291496025
CLTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLTC,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
CLTB,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
TMEM59L,0.2882437966754999,0.1815225246928451,0.05854011081667068,0.011443025776921224,0.001445434834979523,0.0,0.0,0.0
FLG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IPMK,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
PCOLCE,0.31703204047217537,0.2925801011804384,0.20741989881956155,0.09009877138039027,0.036015417971573115,0.003854492893278728,0.0037340399903637678,0.00012045290291496025
PRSS3,0.30619127920982897,0.23343772584919298,0.1009395326427367,0.017104312213924354,0.0020476993495543243,0.00012045290291496025,0.00012045290291496025,0.0
ISCA1,0.31835702240423996,0.3006504456757408,0.21934473620814263,0.07564442303059504,0.00963623223319682,0.0007227174174897615,0.0006022645145748012,0.00012045290291496025
HHEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTRT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PITPNM1,0.3066730908214888,0.2466875451698386,0.1257528306432185,0.021199710913033003,0.001445434834979523,0.00012045290291496025,0.00012045290291496025,0.0
NKX3-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PITPNM3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PITPNM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDGA1,0.30992531920019273,0.2593350999759094,0.13081185256564684,0.032160925078294385,0.002288605155384245,0.0,0.0,0.0
CPNE9,0.22922187424716936,0.11382799325463744,0.025536015417971573,0.0015658877378944833,0.0,0.0,0.0,0.0
CPNE2,0.31257528306432186,0.27174174897615033,0.1633341363526861,0.05866056371958564,0.004336304504938569,0.000481811611659841,0.000481811611659841,0.0
CPNE1,0.3096844133943628,0.26499638641291257,0.13418453384726572,0.03360635991327391,0.002890869669959046,0.0002409058058299205,0.0002409058058299205,0.0
CPNE7,0.31486388821970607,0.2808961695976873,0.17718622018790653,0.05793784630209588,0.004456757407853529,0.00012045290291496025,0.00012045290291496025,0.0
CPNE6,0.15104794025536014,0.039869910864851844,0.003372681281618887,0.00012045290291496025,0.0,0.0,0.0,0.0
CPNE4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNMT3B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNMT3A,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
DNMT3L,0.13346181642977595,0.032160925078294385,0.006143098048662973,0.0008431703204047217,0.00036135870874488076,0.00012045290291496025,0.0,0.00012045290291496025
AAK1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
SNRPN,0.3177547578896651,0.30161406889906045,0.22103107684895207,0.0905805829920501,0.012165743194410985,0.000481811611659841,0.00036135870874488076,0.00012045290291496025
PVRIG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNRPB,0.3164297759576006,0.29860274632618644,0.21320163815947965,0.06673090821488797,0.008190797398217297,0.0007227174174897615,0.0007227174174897615,0.0
SNRPC,0.3105275837147675,0.26776680317995666,0.12623464225487835,0.03372681281618887,0.0099975909419417,0.0007227174174897615,0.0006022645145748012,0.00012045290291496025
SNRPA,0.29884365213201636,0.22729462780053,0.09238737653577452,0.015056612864370031,0.000963623223319682,0.00012045290291496025,0.00012045290291496025,0.0
SNRPF,0.278848470248133,0.15020476993495543,0.04444712117562033,0.015297518670199952,0.001927246446639364,0.000481811611659841,0.00036135870874488076,0.00012045290291496025
SNRPG,0.31197301854974707,0.27138039026740546,0.13165502288605155,0.035894965068658156,0.010720308359431462,0.0010840761262346423,0.000963623223319682,0.00012045290291496025
SNRPE,0.2930619127920983,0.20332450012045292,0.06275596241869429,0.0187906528547338,0.00505902192242833,0.00036135870874488076,0.00036135870874488076,0.0
RGS9BP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZDHHC14,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ZDHHC17,0.32016381594796434,0.3124548301614069,0.2742712599373645,0.160563719585642,0.04613346181642978,0.0030113225728740063,0.0030113225728740063,0.0
ZDHHC16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZDHHC11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZDHHC12,0.3205251746567092,0.3139002649963864,0.28282341604432665,0.1805589014695254,0.05432425921464707,0.0031317754757889667,0.0031317754757889667,0.0
PRKAG1,0.3126957359672368,0.27342808961695975,0.13623223319682004,0.03661768248614792,0.008672609009877139,0.00012045290291496025,0.00012045290291496025,0.0
PRKAG3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRKAG2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ZDHHC19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
