gene_mmusculus_stress_down,mmusculus_stress_down_Fraction_sp_less4,mmusculus_stress_down_Fraction_sp_less3,mmusculus_stress_down_Fraction_sp_less2,mmusculus_stress_down_Fraction_sp_1,mmusculus_stress_down_Fraction_sp_0
CIT,0.23652048885693747,0.028396836808051763,0.0002875629043853343,0.00021567217828900073,7.189072609633358e-05
CITED1,0.28130841121495326,0.07311286843997124,0.00043134435657800146,0.00043134435657800146,0.0
TFAP2B,0.2717469446441409,0.05873472322070453,0.0005751258087706686,0.0005751258087706686,0.0
LHX2,0.24335010783608915,0.03443565780014378,0.00043134435657800146,0.00043134435657800146,0.0
LHX3,0.19108554996405464,0.011430625449317038,0.00021567217828900073,0.00021567217828900073,0.0
SLAIN2,0.06470165348670022,0.003738317757009346,7.189072609633358e-05,7.189072609633358e-05,0.0
CKMT1A,0.11085549964054638,0.0012940330697340044,0.0,0.0,0.0
GAMT,0.19798705966930266,0.013659237958303379,0.00014378145219266715,0.00014378145219266715,0.0
SERP2,0.1368080517613228,0.0034507548526240116,0.0,0.0,0.0
CKLF,0.22372393961179007,0.029259525521207762,0.00014378145219266715,7.189072609633358e-05,7.189072609633358e-05
CKMT1B,0.22796549245147377,0.03120057512580877,0.0003594536304816679,0.0003594536304816679,0.0
OLFML3,0.2587347232207045,0.052192667145938176,0.00021567217828900073,0.00014378145219266715,7.189072609633358e-05
CLIP2,0.2141624730409777,0.024442846872753415,0.00021567217828900073,0.00014378145219266715,7.189072609633358e-05
CLCA1,0.05413371675053918,0.00043134435657800146,7.189072609633358e-05,7.189072609633358e-05,0.0
KCNMB1,0.1389647735442128,0.003522645578720345,7.189072609633358e-05,0.0,7.189072609633358e-05
CLCC1,0.18835370237239396,0.015025161754133716,7.189072609633358e-05,0.0,7.189072609633358e-05
CLCF1,0.2523364485981308,0.04385334291876348,0.0002875629043853343,0.00021567217828900073,7.189072609633358e-05
CRLF1,0.13601725377426313,0.007907979870596693,0.00021567217828900073,0.00014378145219266715,7.189072609633358e-05
CLDN3,0.21818835370237238,0.013012221423436377,7.189072609633358e-05,7.189072609633358e-05,0.0
CLDN5,0.15787203450754853,0.00301941049604601,7.189072609633358e-05,7.189072609633358e-05,0.0
PVRL3,0.13191948238677212,0.00301941049604601,7.189072609633358e-05,7.189072609633358e-05,0.0
TJP3,0.11962616822429907,0.0025880661394680087,0.0,0.0,0.0
CLDN11,0.2297627606038821,0.03299784327821711,0.00014378145219266715,0.00014378145219266715,0.0
CLDN12,0.05895039539899353,0.0012940330697340044,0.0,0.0,0.0
CLDN14,0.2205607476635514,0.020560747663551402,7.189072609633358e-05,7.189072609633358e-05,0.0
CLDN15,0.021710999281092738,7.189072609633358e-05,0.0,0.0,0.0
CLDN2,0.21782890007189074,0.02192667145938174,0.00014378145219266715,0.00014378145219266715,0.0
CLDN20,0.021710999281092738,7.189072609633358e-05,0.0,0.0,0.0
CLDN16,0.25557153127246585,0.037383177570093455,7.189072609633358e-05,7.189072609633358e-05,0.0
CLDN19,0.037383177570093455,7.189072609633358e-05,0.0,0.0,0.0
CLDN17,0.021710999281092738,7.189072609633358e-05,0.0,0.0,0.0
CLDN18,0.02178289000718907,7.189072609633358e-05,0.0,0.0,0.0
CLDN4,0.16434219985621853,0.004888569374550683,7.189072609633358e-05,7.189072609633358e-05,0.0
CLDN7,0.1756290438533429,0.008698777857656362,7.189072609633358e-05,7.189072609633358e-05,0.0
CLDN6,0.24629762760603882,0.03306973400431344,7.189072609633358e-05,7.189072609633358e-05,0.0
CLDN8,0.05348670021567218,0.0013659237958303378,0.0,0.0,0.0
CLDN9,0.2432782171099928,0.031344356578001435,7.189072609633358e-05,7.189072609633358e-05,0.0
CLDND2,0.19223580158159598,0.009273903666427032,7.189072609633358e-05,7.189072609633358e-05,0.0
CLEC1B,0.03414809489575845,0.0012940330697340044,0.0,0.0,0.0
CLEC2L,0.08159597411933861,0.0017253774263120058,7.189072609633358e-05,7.189072609633358e-05,0.0
EXT2,0.27462257368799425,0.060675772825305535,0.0012940330697340044,0.0012221423436376707,7.189072609633358e-05
CLEC3B,0.2621135873472322,0.03235082674335011,0.0007907979870596693,0.0007907979870596693,0.0
HGF,0.2794392523364486,0.08648454349388929,0.0011502516175413372,0.0010783608914450035,7.189072609633358e-05
CLEC4C,0.12494608195542775,0.004672897196261682,0.0,0.0,0.0
