gene_dmelanogaster_stress_up,dmelanogaster_stress_up_Fraction_sp_less4,dmelanogaster_stress_up_Fraction_sp_less3,dmelanogaster_stress_up_Fraction_sp_less2,dmelanogaster_stress_up_Fraction_sp_1,dmelanogaster_stress_up_Fraction_sp_0
PDE12,0.29980699120737725,0.2979483880191579,0.014225462863678604,0.01415397812567017,7.14847380084352e-05
GALNT3,0.29980699120737725,0.2938022732146687,0.0064336264207591675,0.0064336264207591675,0.0
IFT57,0.29980699120737725,0.2991636285653013,0.011223103867324327,0.011223103867324327,0.0
MXD3,0.29980699120737725,0.2980913574951748,0.00922153120308814,0.00922153120308814,0.0
RHPN1,0.29980699120737725,0.2991636285653013,0.012009435985417113,0.011937951247408679,7.14847380084352e-05
DEF8,0.29980699120737725,0.29394524269068556,0.0037886911144470654,0.0037886911144470654,0.0
AKAP2,0.29980699120737725,0.29480305954678676,0.004432053756522982,0.004432053756522982,0.0
LHX3,0.29980699120737725,0.29830581170920006,0.008292229608978484,0.008292229608978484,0.0
KCNE2,0.29980699120737725,0.29623275430695545,0.0055758095646579455,0.0055758095646579455,0.0
POM121C,0.29980699120737725,0.28951318893416256,0.006219172206733862,0.006147687468725427,7.14847380084352e-05
VPS13C,0.29980699120737725,0.2995925369933519,0.012724283365501465,0.012724283365501465,0.0
RBM6,0.29980699120737725,0.2980913574951748,0.010150832797197798,0.010150832797197798,0.0
AKAP14,0.29980699120737725,0.29301594109657586,0.0037172063764386305,0.0037172063764386305,0.0
ROPN1,0.29980699120737725,0.29258703266852526,0.004503538494531417,0.004503538494531417,0.0
SLC2A4RG,0.29980699120737725,0.2975194795911073,0.006719565372792909,0.006719565372792909,0.0
AJAP1,0.29980699120737725,0.2973765101150904,0.005075416398598899,0.005075416398598899,0.0
CEP192,0.29980699120737725,0.2970905711630567,0.008149260132961612,0.008149260132961612,0.0
SASH1,0.29980699120737725,0.298949174351276,0.009364500679105011,0.009364500679105011,0.0
AKAP8,0.29980699120737725,0.2963042390449639,0.008006290656944743,0.008006290656944743,0.0
ZNF260,0.29980699120737725,0.29566087640288796,0.005218385874615769,0.005218385874615769,0.0
CLASP2,0.29980699120737725,0.29944956751733504,0.011366073343341197,0.011366073343341197,0.0
GNPNAT1,0.29980699120737725,0.2988062048752591,0.011937951247408679,0.011937951247408679,0.0
GBGT1,0.29980699120737725,0.2928014868825506,0.00536135535063264,0.00536135535063264,0.0
ENTPD3,0.29980699120737725,0.29723354063907353,0.008006290656944743,0.008006290656944743,0.0
