gene_dmelanogaster_stress_up,dmelanogaster_stress_up_Fraction_sp_less7,dmelanogaster_stress_up_Fraction_sp_less6,dmelanogaster_stress_up_Fraction_sp_less5,dmelanogaster_stress_up_Fraction_sp_less4,dmelanogaster_stress_up_Fraction_sp_less3,dmelanogaster_stress_up_Fraction_sp_less2,dmelanogaster_stress_up_Fraction_sp_1,dmelanogaster_stress_up_Fraction_sp_0
LYZL1,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.3013094118498155,0.1406351732619547,0.004702307747956305,0.0046299645518339,7.234319612240469e-05
LYZL2,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.3013094118498155,0.1401287708890979,0.004557621355711495,0.004485278159589091,7.234319612240469e-05
PIAS2,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.3010923822614483,0.250452144975765,0.007596035592852492,0.007596035592852492,0.0
PIAS3,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.29074730521594444,0.032192722274470086,0.032192722274470086,0.0
PIAS1,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.3013094118498155,0.2720104174202416,0.016421905519785864,0.016421905519785864,0.0
PIAS4,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.3009476958692035,0.20957823916660637,0.0026766982565289733,0.0026766982565289733,0.0
ZNF317,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.3010923822614483,0.23743036967373218,0.00694494682775085,0.00694494682775085,0.0
ZNF319,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.3013094118498155,0.2542863343702525,0.007451349200607683,0.007451349200607683,0.0
GSTP1,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.3013094118498155,0.20010128047457137,0.002532011864284164,0.002532011864284164,0.0
ST18,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.30167112783042754,0.2437965709325038,0.008102437965709326,0.008102437965709326,0.0
AP4M1,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.30167112783042754,0.28814295015553787,0.029516024017941112,0.029516024017941112,0.0
PIF1,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.3014540982420603,0.2542863343702525,0.010923822614483108,0.010923822614483108,0.0
BRK1,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.3010923822614483,0.25522679591984376,0.007668378788974897,0.007596035592852492,7.234319612240469e-05
SDHA,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.3014540982420603,0.26795919843738697,0.015915503146929032,0.015843159950806627,7.234319612240469e-05
SDHC,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.30138175504593795,0.27902770744411487,0.021992331621211024,0.021919988425088622,7.234319612240469e-05
SDHB,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.2900238732547204,0.03624394125732475,0.03617159806120234,7.234319612240469e-05
SDHD,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.2887216957245171,0.02452434348549519,0.024452000289372784,7.234319612240469e-05
SMG5,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.3013094118498155,0.26528250018085797,0.00911524271142299,0.00911524271142299,0.0
SMG7,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.30152644143818275,0.2129783693843594,0.004268248571221877,0.004268248571221877,0.0
DLG2,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.2796064530130941,0.016928307892642696,0.016855964696520294,7.234319612240469e-05
DLG5,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.3015987846343051,0.27750850032554436,0.01251537292917601,0.01251537292917601,0.0
DLG4,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.2942921218259423,0.03892063951385372,0.03884829631773132,7.234319612240469e-05
SYS1,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.30036895030022426,0.10402951602401794,0.00028937278448961875,0.00028937278448961875,0.0
SMG8,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.3011647254575707,0.2376473992620994,0.010055704261014252,0.010055704261014252,0.0
