gene_dmelanogaster_stress_down,dmelanogaster_stress_down_Fraction_sp_less4,dmelanogaster_stress_down_Fraction_sp_less3,dmelanogaster_stress_down_Fraction_sp_less2,dmelanogaster_stress_down_Fraction_sp_1,dmelanogaster_stress_down_Fraction_sp_0
PRKAR1A,0.11042183622828784,0.11031844499586435,0.01173490488006617,0.01173490488006617,0.0
FES,0.11042183622828784,0.11037014061207609,0.01064929693961952,0.01064929693961952,0.0
LIMK2,0.11042183622828784,0.11021505376344086,0.008736559139784945,0.008736559139784945,0.0
ASPM,0.11042183622828784,0.11037014061207609,0.00956368899917287,0.00956368899917287,0.0
ANKRD35,0.11042183622828784,0.10990488006617039,0.0027398676592224978,0.0027398676592224978,0.0
ELMOD2,0.11042183622828784,0.10835401157981803,0.0011373035566583955,0.0011373035566583955,0.0
TXNDC5,0.11042183622828784,0.11026674937965261,0.006978908188585608,0.006978908188585608,0.0
CALML3,0.11042183622828784,0.11021505376344086,0.00728908188585608,0.00728908188585608,0.0
SRMS,0.11042183622828784,0.11016335814722912,0.005531430934656741,0.005531430934656741,0.0
TGFBR1,0.11042183622828784,0.11031844499586435,0.01457816377171216,0.01457816377171216,0.0
SIPA1L3,0.11042183622828784,0.10861248966087676,0.0021712158808933004,0.0021712158808933004,0.0
UBE2D4,0.11042183622828784,0.11021505376344086,0.009408602150537635,0.009408602150537635,0.0
ARAP1,0.11042183622828784,0.10990488006617039,0.0052212572373862695,0.0052212572373862695,0.0
HERC4,0.11042183622828784,0.11011166253101737,0.007961124896608768,0.007961124896608768,0.0
NFKBIB,0.11042183622828784,0.11021505376344086,0.0073407775020678245,0.00728908188585608,5.1695616211745244e-05
PLEK,0.11042183622828784,0.11031844499586435,0.017214640198511166,0.017214640198511166,0.0
RPL36,0.11042183622828784,0.11005996691480563,0.005376344086021506,0.005376344086021506,0.0
SMG1,0.11042183622828784,0.11037014061207609,0.016439205955334987,0.016439205955334987,0.0
IGF1R,0.11042183622828784,0.11037014061207609,0.023418114143920594,0.023418114143920594,0.0
RHOG,0.11042183622828784,0.11031844499586435,0.013699338296112489,0.013699338296112489,0.0
TUBA3E,0.11042183622828784,0.11037014061207609,0.00749586435070306,0.00749586435070306,0.0
PSD4,0.11042183622828784,0.10938792390405294,0.002533085194375517,0.0024813895781637717,5.1695616211745244e-05
HUNK,0.11042183622828784,0.11026674937965261,0.008012820512820512,0.008012820512820512,0.0
TSPAN17,0.11042183622828784,0.10638957816377172,0.0013957816377171215,0.0013957816377171215,0.0
YKT6,0.11042183622828784,0.11026674937965261,0.006875516956162117,0.006875516956162117,0.0
UBE2A,0.11042183622828784,0.11026674937965261,0.014526468155500414,0.014526468155500414,0.0
EPHA1,0.11042183622828784,0.11021505376344086,0.010235732009925558,0.010235732009925558,0.0
DUSP8,0.11042183622828784,0.11016335814722912,0.00728908188585608,0.00728908188585608,0.0
PIP5KL1,0.11042183622828784,0.1091294458229942,0.0028949545078577337,0.0028949545078577337,0.0
UBE2O,0.11042183622828784,0.11026674937965261,0.009718775847808106,0.009718775847808106,0.0
EIF2S1,0.11042183622828784,0.11037014061207609,0.010235732009925558,0.010235732009925558,0.0
AP1M1,0.11042183622828784,0.11005996691480563,0.004807692307692308,0.004807692307692308,0.0
COPB1,0.11042183622828784,0.11037014061207609,0.009098428453267164,0.009098428453267164,0.0
LPXN,0.11042183622828784,0.11011166253101737,0.005686517783291977,0.005686517783291977,0.0
IQSEC1,0.11042183622828784,0.10974979321753515,0.004394127377998346,0.004342431761786601,5.1695616211745244e-05
OBSCN,0.11042183622828784,0.11026674937965261,0.00728908188585608,0.00728908188585608,0.0
CDC42BPB,0.11042183622828784,0.11026674937965261,0.009201819685690654,0.009201819685690654,0.0
NPR2,0.11042183622828784,0.11011166253101737,0.004704301075268817,0.004704301075268817,0.0
ZDHHC3,0.11042183622828784,0.10799214226633581,0.0025847808105872623,0.0025847808105872623,0.0
DTX3,0.11042183622828784,0.10664805624483044,0.0010339123242349049,0.0010339123242349049,0.0
KIF20A,0.11042183622828784,0.11037014061207609,0.006772125723738627,0.006772125723738627,0.0
AP1S3,0.11042183622828784,0.10825062034739454,0.001705955334987593,0.001705955334987593,0.0
AP5M1,0.11042183622828784,0.1096980976013234,0.003101736972704715,0.003101736972704715,0.0
LRRC59,0.11042183622828784,0.11000827129859388,0.003101736972704715,0.003101736972704715,0.0
ANKMY2,0.11042183622828784,0.11011166253101737,0.004394127377998346,0.004394127377998346,0.0
ARPC4,0.11042183622828784,0.10995657568238214,0.003205128205128205,0.003205128205128205,0.0
CYB5B,0.11042183622828784,0.11031844499586435,0.00739247311827957,0.0073407775020678245,5.1695616211745244e-05
RABGGTA,0.11042183622828784,0.1092328370554177,0.0022229114971050457,0.0022229114971050457,0.0
SURF4,0.11042183622828784,0.11011166253101737,0.004445822994210091,0.004445822994210091,0.0
KANK3,0.11042183622828784,0.11011166253101737,0.004704301075268817,0.004652605459057072,5.1695616211745244e-05
PI4KB,0.11042183622828784,0.11031844499586435,0.01685277088502895,0.016801075268817203,5.1695616211745244e-05
STYX,0.11042183622828784,0.10985318444995865,0.0035669975186104217,0.0035669975186104217,0.0
TRAPPC9,0.11042183622828784,0.11031844499586435,0.00641025641025641,0.00641025641025641,0.0
FBXO8,0.11042183622828784,0.10995657568238214,0.005169561621174525,0.005169561621174525,0.0
CAMK4,0.11042183622828784,0.11016335814722912,0.007857733664185277,0.007857733664185277,0.0
IKBKG,0.11042183622828784,0.11026674937965261,0.010132340777502068,0.010132340777502068,0.0
ANKRD10,0.11042183622828784,0.11011166253101737,0.004342431761786601,0.004342431761786601,0.0
PHLPP1,0.11042183622828784,0.11021505376344086,0.007599255583126551,0.007599255583126551,0.0
PLXNA4,0.11042183622828784,0.10995657568238214,0.003980562448304384,0.003980562448304384,0.0
RAP1GAP,0.11042183622828784,0.11005996691480563,0.005117866004962779,0.005117866004962779,0.0
TNNC2,0.11042183622828784,0.11021505376344086,0.0073407775020678245,0.0073407775020678245,0.0
RAB2A,0.11042183622828784,0.11037014061207609,0.011269644334160464,0.011269644334160464,0.0
MYH6,0.11042183622828784,0.11031844499586435,0.012251861042183622,0.012251861042183622,0.0
PLEKHG4B,0.11042183622828784,0.1098014888337469,0.003928866832092638,0.003928866832092638,0.0
