gene_celegans_stress_down,celegans_stress_down_Fraction_sp_less4,celegans_stress_down_Fraction_sp_less3,celegans_stress_down_Fraction_sp_less2,celegans_stress_down_Fraction_sp_1,celegans_stress_down_Fraction_sp_0
DHRS7B,0.25082712985938793,0.24358974358974358,0.005014474772539288,0.004962779156327543,5.1695616211745244e-05
DRC1,0.25082712985938793,0.22523779983457404,0.0014991728701406121,0.0014991728701406121,0.0
CLEC18B,0.25082712985938793,0.23966087675765096,0.003928866832092638,0.0038771712158808935,5.1695616211745244e-05
PTTG1IP,0.25082712985938793,0.247156741108354,0.0030500413564929696,0.0030500413564929696,0.0
AVL9,0.25082712985938793,0.24250413564929693,0.0030500413564929696,0.0030500413564929696,0.0
RBMS2,0.25082712985938793,0.24813895781637718,0.0063068651778329194,0.0063068651778329194,0.0
QSOX2,0.25082712985938793,0.24617452440033086,0.004445822994210091,0.004394127377998346,5.1695616211745244e-05
ZDHHC21,0.25082712985938793,0.24379652605459057,0.004290736145574855,0.00423904052936311,5.1695616211745244e-05
SNX19,0.25082712985938793,0.24539909015715466,0.0031534325889164597,0.0031534325889164597,0.0
ERMAP,0.25082712985938793,0.2462262200165426,0.00423904052936311,0.00423904052936311,0.0
LNP1,0.25082712985938793,0.23304383788254757,0.0012406947890818859,0.0012406947890818859,0.0
C10orf88,0.25077543424317617,0.20114764267990073,0.0007237386269644334,0.0007237386269644334,0.0
BRI3,0.25082712985938793,0.23852357320099254,0.002326302729528536,0.002274607113316791,5.1695616211745244e-05
TMEM179B,0.25082712985938793,0.22472084367245657,0.0018610421836228288,0.0018610421836228288,0.0
C11orf31,0.25082712985938793,0.23604218362282878,0.002533085194375517,0.002533085194375517,0.0
C9orf129,0.25082712985938793,0.2217741935483871,0.0013440860215053765,0.0013440860215053765,0.0
CSRP2BP,0.25082712985938793,0.24519230769230768,0.00620347394540943,0.00620347394540943,0.0
PELI3,0.25082712985938793,0.24343465674110834,0.003205128205128205,0.0031534325889164597,5.1695616211745244e-05
SRSF8,0.25082712985938793,0.2441583953680728,0.003773779983457403,0.0037220843672456576,5.1695616211745244e-05
MSMB,0.25082712985938793,0.24968982630272954,0.005272952853598015,0.005272952853598015,0.0
XAGE5,0.25082712985938793,0.21190033085194376,0.0010339123242349049,0.0010339123242349049,0.0
PAGE4,0.25082712985938793,0.23071753515301902,0.0016542597187758478,0.0016542597187758478,0.0
TMEM159,0.25082712985938793,0.18046939619520264,0.0009305210918114144,0.0009305210918114144,0.0
ENSG00000173610,0.25082712985938793,0.2429177005789909,0.004962779156327543,0.004962779156327543,0.0
PAGE3,0.25082712985938793,0.16268610421836227,0.0003618693134822167,0.0003618693134822167,0.0
PAGE2B,0.25082712985938793,0.17990074441687345,0.00041356492969396195,0.00041356492969396195,0.0
FMO6P,0.25082712985938793,0.2438482216708023,0.005272952853598015,0.005272952853598015,0.0
TRIM44,0.25082712985938793,0.2439516129032258,0.001964433416046319,0.001964433416046319,0.0
PROSER1,0.25082712985938793,0.1842948717948718,0.0006203473945409429,0.0006203473945409429,0.0
SCML1,0.25082712985938793,0.24043631100082713,0.003360215053763441,0.003360215053763441,0.0
COLCA2,0.25082712985938793,0.21489867659222497,0.0011373035566583955,0.0011373035566583955,0.0
ATP11AUN,0.25082712985938793,0.15581058726220018,0.0004652605459057072,0.0004652605459057072,0.0
OR4D6,0.25082712985938793,0.2061104218362283,0.0013440860215053765,0.0013440860215053765,0.0
C16orf70,0.25082712985938793,0.23609387923904052,0.0021712158808933004,0.0021712158808933004,0.0
C4orf26,0.25082712985938793,0.19235938792390406,0.0006720430107526882,0.0006720430107526882,0.0
OR7G1,0.25082712985938793,0.17798800661703887,0.0009822167080231596,0.0009822167080231596,0.0
OR8B8,0.25082712985938793,0.18455334987593053,0.0007754342431761787,0.0007754342431761787,0.0
UBALD2,0.25082712985938793,0.200889164598842,0.0008788254755996692,0.0008788254755996692,0.0
MAGEB10,0.25082712985938793,0.2161910669975186,0.0014991728701406121,0.0014991728701406121,0.0
C2orf42,0.25082712985938793,0.18992969396195203,0.0009305210918114144,0.0009305210918114144,0.0
PCNXL4,0.25082712985938793,0.1694582299421009,0.0006203473945409429,0.0006203473945409429,0.0
CCDC70,0.25082712985938793,0.18992969396195203,0.00041356492969396195,0.00041356492969396195,0.0
PPP1R14C,0.25082712985938793,0.24627791563275434,0.0035669975186104217,0.0035669975186104217,0.0
MAGEB3,0.25082712985938793,0.20916046319272125,0.0014474772539288668,0.0014474772539288668,0.0
WBP1,0.25082712985938793,0.2091087675765095,0.0008271298593879239,0.0008271298593879239,0.0
KIAA1279,0.25082712985938793,0.24596774193548387,0.0021712158808933004,0.0021712158808933004,0.0
C1orf226,0.25082712985938793,0.21598428453267163,0.0012923904052936312,0.0012406947890818859,5.1695616211745244e-05
AWAT1,0.25082712985938793,0.244313482216708,0.005686517783291977,0.005634822167080232,5.1695616211745244e-05
NCKAP5L,0.25082712985938793,0.23552522746071133,0.002119520264681555,0.002119520264681555,0.0
FAM81A,0.25082712985938793,0.2406430934656741,0.002946650124069479,0.002946650124069479,0.0
KANSL1L,0.25082712985938793,0.20321546732837056,0.0010856079404466502,0.0010856079404466502,0.0
STH,0.25082712985938793,0.2422456575682382,0.0020161290322580645,0.0020161290322580645,0.0
ZDHHC11B,0.25082712985938793,0.22911497105045492,0.002533085194375517,0.0024813895781637717,5.1695616211745244e-05
BLOC1S4,0.25082712985938793,0.21717328370554176,0.0010339123242349049,0.0010339123242349049,0.0
