gene_downregulated.regen,downregulated.regen_Fraction_sp_less4,downregulated.regen_Fraction_sp_less3,downregulated.regen_Fraction_sp_less2,downregulated.regen_Fraction_sp_1,downregulated.regen_Fraction_sp_0
CES1,0.056657864956620146,0.020445115050924178,0.0008298755186721991,0.0008298755186721991,0.0
CES3,0.05960015088645794,0.026556016597510373,0.0012825348924933987,0.0012825348924933987,0.0
CES2,0.051452282157676346,0.006639004149377593,7.544322897019993e-05,0.0,7.544322897019993e-05
FFAR2,0.05997736703130894,0.02987551867219917,0.0015088645794039985,0.0015088645794039985,0.0
UCP1,0.0,0.0,0.0,0.0,0.0
FFAR1,0.04337985665786496,0.0015843078083741984,0.0,0.0,0.0
FFAR4,0.019087136929460582,0.00045265937382119953,0.0,0.0,0.0
CREB3L2,0.05975103734439834,0.03040362127499057,0.004375707280271595,0.004375707280271595,0.0
ZNF91,0.05846850245190494,0.01931346661637118,0.001056205205582799,0.001056205205582799,0.0
ZNF92,0.054168238400603544,0.011542814032440589,0.00015088645794039985,0.00015088645794039985,0.0
ZNF93,0.055149000377216144,0.01018483591097699,7.544322897019993e-05,7.544322897019993e-05,0.0
SAC3D1,0.046171256129762354,0.004375707280271595,0.0,0.0,0.0
RAET1E,0.04036212749905696,0.003772161448509996,7.544322897019993e-05,7.544322897019993e-05,0.0
RAET1G,0.05167861184458695,0.01010939268200679,0.0006035458317615994,0.0006035458317615994,0.0
TBX21,0.059072048283666544,0.022557525462089778,0.002036967182195398,0.002036967182195398,0.0
FAM3B,0.06027913994718974,0.024217276499434177,0.0015843078083741984,0.0015843078083741984,0.0
TBX22,0.0,0.0,0.0,0.0,0.0
RAET1L,0.05997736703130894,0.021953979630328177,0.0012825348924933987,0.0012825348924933987,0.0
FAM153A,0.05190494153149755,0.007016220294228593,0.0,0.0,0.0
ERBB2,0.05960015088645794,0.023387400980761978,0.0009053187476423991,0.0009053187476423991,0.0
ERBB3,0.05967559411542814,0.019087136929460582,0.0013579781214635986,0.0013579781214635986,0.0
ATPAF1,0.06110901546586194,0.03794794417201056,0.0014334213504337986,0.0014334213504337986,0.0
SHC1,0.056733308185590345,0.022482082233119576,0.001131648434552999,0.001131648434552999,0.0
SHC2,0.052810260279139945,0.007544322897019992,7.544322897019993e-05,7.544322897019993e-05,0.0
SHC3,0.04209732176537156,0.003017729158807997,0.0,0.0,0.0
FPR1,0.057110524330441344,0.01991701244813278,0.0024141833270463976,0.0024141833270463976,0.0
FPR2,0.056129762353828744,0.016597510373443983,0.002036967182195398,0.002036967182195398,0.0
FPR3,0.05582798943794794,0.018408147868728783,0.0027913994718973974,0.0027913994718973974,0.0
SMPDL3A,0.05394190871369295,0.013127121840814786,7.544322897019993e-05,7.544322897019993e-05,0.0
TRANK1,0.059072048283666544,0.025499811391927574,0.0006035458317615994,0.0006035458317615994,0.0
ZCWPW1,0.04564315352697095,0.003998491135420596,0.0,0.0,0.0
CDC16,0.057110524330441344,0.015843078083741986,0.000980761976612599,0.000980761976612599,0.0
AHNAK,0.061410788381742736,0.038174273858921165,0.006563560920407393,0.006563560920407393,0.0
FRMD8,0.058393059222934744,0.024141833270463976,0.0005281026027913995,0.0005281026027913995,0.0
IMMP1L,0.058694832138815545,0.023236514522821577,0.0005281026027913995,0.0005281026027913995,0.0
SPICE1,0.06012825348924934,0.03145982648057337,0.001886080724254998,0.001886080724254998,0.0
FRMD6,0.06058091286307054,0.034552998868351566,0.004224820822331196,0.004224820822331196,0.0
FRMD1,0.003847604677480196,0.00015088645794039985,0.0,0.0,0.0
PKNOX2,0.05877027536778574,0.021274990569596378,0.0006789890607317993,0.0006789890607317993,0.0
MED13L,0.06050546963410034,0.03417578272350057,0.002112410411165598,0.002112410411165598,0.0
CYP26C1,0.0,0.0,0.0,0.0,0.0
DPF2,0.05944926442851754,0.027008675971331574,0.0006789890607317993,0.0006789890607317993,0.0
DPF3,0.05658242172764994,0.015390418709920785,0.00015088645794039985,0.00015088645794039985,0.0
DPF1,0.052810260279139945,0.014635986420218785,0.00015088645794039985,0.00015088645794039985,0.0
VPS45,0.059072048283666544,0.022632968691059976,0.0003772161448509996,0.0003772161448509996,0.0
